Pre,Displacement,Tension,Resistance,Stutus,,0--12,4--12,8--12,,,,
1.02,9.1,37.4,,,,,,9.05,,17.05,5.08,10.8
1.03,9.11,37.6,,,,,,9.06,,17.07,5.09,10.9
1.05,9.12,37.8,,,,,,9.08,,17.08,5.11,10.9
1.06,9.14,37.9,,,,,,9.09,,17.09,5.12,10.8
1.07,9.15,37.8,,,,,,9.1,,17.1,5.13,10.9
1.08,9.16,37.9,,,,,,9.11,,17.11,5.15,11
1.1,9.17,38,,,,,,9.13,,17.13,5.16,10.8
1.11,9.19,38.2,,,,,,9.14,,17.14,5.17,10.7
1.12,9.2,38.6,,,,,,9.15,,17.15,5.19,11
1.13,9.21,38.5,,,,,,9.16,,17.17,5.2,11.4
1.15,9.23,38.3,,,,,,9.18,,17.18,5.21,11.4
1.16,9.24,38.4,,,,,,9.19,,17.19,5.23,11.4
1.17,9.25,38.6,,,,,,9.2,,17.2,5.24,11.4
1.18,9.26,38.5,,,,,,9.21,,17.21,5.25,11.5
1.2,9.28,38.2,,,,,,9.23,,17.23,5.26,11.5
1.21,9.28,38.4,,,,,,9.24,,17.24,5.28,11.4
1.22,9.3,38.8,,,,,,9.25,,17.25,5.28,11.5
1.23,9.31,38.8,,,,,,9.26,,17.26,5.3,11.7
1.24,9.32,38.7,,,,,,9.27,,17.28,5.31,11.5
1.26,9.34,38.8,,,,,,9.29,,17.29,5.32,11.7
1.27,9.35,38.9,,,,,,9.3,,17.3,5.34,12.1
1.28,9.36,39.1,,,,,,9.31,,17.31,5.35,11.9
1.29,9.38,39.1,,,,,,9.32,,17.32,5.36,12
1.31,9.39,39.2,,,,,,9.34,,17.34,5.38,12.1
1.32,9.4,39.3,,,,,,9.35,,17.35,5.39,12.1
1.33,9.42,39.3,,,,,,9.36,,17.36,5.4,12
1.34,9.43,39.4,,,,,,9.37,,17.37,5.42,12.3
1.36,9.44,39.4,,,,,,9.39,,17.39,5.43,12.3
1.37,9.46,39.6,,,,,,9.4,,17.4,5.45,12.4
1.38,9.47,39.8,,,,,,9.41,,17.41,5.46,12.4
1.39,9.48,39.5,,,,,,9.42,,17.42,5.47,12.3
1.41,9.49,39.6,,,,,,9.44,,17.44,5.48,12.4
1.42,9.51,39.9,,,,,,9.45,,17.45,5.5,12.6
1.43,9.52,39.8,,,,,,9.46,,17.46,5.51,12.7
1.44,9.53,39.9,,,,,,9.47,,17.47,5.52,12.9
1.45,9.55,40,,,,,,9.48,,17.49,5.53,12.8
