Pre,Displacement,Tension,Resistance,Stutus,,0--12,4--12,8--12,,,,
19.38,7.51,35,,,,,,,,35.38,7.51,20
19.39,7.52,34.9,,,,,,,,35.39,7.52,20
19.4,7.53,34.8,,,,,,,,35.41,7.53,20.1
19.41,7.55,35,,,,,,,,35.42,7.55,20.1
19.43,7.56,35.2,,,,,,,,35.43,7.56,20.2
19.44,7.57,35.1,,,,,,,,35.44,7.57,20.1
19.45,7.59,35,,,,,,,,35.46,7.59,20
19.46,7.6,35.1,,,,,,,,35.47,7.6,20.4
19.48,7.61,35.3,,,,,,,,35.48,7.61,20.6
19.49,7.63,35.4,,,,,,,,35.49,7.62,20.6
19.5,7.64,35.5,,,,,,,,35.51,7.64,20.8
19.51,7.65,35.7,,,,,,,,35.52,7.65,20.8
19.53,7.66,35.7,,,,,,,,35.53,7.66,20.5
19.54,7.68,35.6,,,,,,,,35.54,7.68,20.5
19.55,7.69,35.7,,,,,,,,35.55,7.69,20.7
19.56,7.7,35.7,,,,,,,,35.57,7.7,20.5
19.57,7.71,35.7,,,,,,,,35.58,7.71,20.5
19.59,7.72,35.9,,,,,,,,35.59,7.72,20.8
19.6,7.74,35.8,,,,,,,,35.61,7.74,20.7
19.61,7.75,35.8,,,,,,,,35.62,7.75,20.8
19.62,7.76,36,,,,,,,,35.63,7.76,20.7
19.64,7.77,35.9,,,,,,,,35.64,7.78,21
19.65,7.78,35.8,,,,,,,,35.65,7.78,21
19.66,7.8,35.9,,,,,,,,35.67,7.8,21.2
19.67,7.81,35.9,,,,,,,,35.68,7.81,21.3
19.69,7.82,35.9,,,,,,,,35.69,7.82,21.3
19.7,7.84,36.2,,,,,,,,35.7,7.84,21.5
19.71,7.85,36.1,,,,,,,,35.72,7.85,21.6
19.72,7.86,36,,,,,,,,35.73,7.86,21.7
19.74,7.88,36.3,,,,,,,,35.74,7.88,21.6
19.75,7.89,36.5,,,,,,,,35.75,7.89,21.4
19.76,7.91,36.4,,,,,,,,35.76,7.9,21.7
19.77,7.92,36.4,,,,,,,,35.78,7.92,21.9
19.79,7.93,36.5,,,,,,,,35.79,7.93,21.7
19.8,7.94,36.5,,,,,,,,35.8,7.95,21.6
19.81,7.96,36.5,,,,,,,,35.81,7.96,21.8
19.82,7.97,36.8,,,,,,,,35.83,7.97,21.8
19.83,7.98,36.8,,,,,,,,35.84,7.98,21.8
19.85,8,36.8,,,,,,,,35.85,8,21.9
19.86,8.01,37.3,,,,,,,,35.86,8.01,22
19.87,8.02,37,,,,,,,,35.88,8.02,22
19.88,8.03,36.9,,,,,,,,35.89,8.03,22.1
19.9,8.05,37.2,,,,,,,,35.9,8.05,22.3
19.91,8.06,37.3,,,,,,,,35.91,8.06,22.5
19.92,8.07,37.1,,,,,,,,35.93,8.07,22.6
19.93,8.09,37.2,,,,,,,,35.94,8.09,22.5
19.95,8.1,37.3,,,,,,,,35.95,8.1,22.4
19.96,8.11,37.5,,,,,,,,35.96,8.11,22.4
19.97,8.12,37.3,,,,,,,,35.97,8.12,22.5
19.98,8.14,37.4,,,,,,,,35.99,8.14,22.4
20,8.15,37.6,,,,,,,,36,8.15,22.4
20.01,8.16,37.5,,,,,,,,36.01,8.16,22.7
20.02,8.17,37.6,,,,,,,,36.03,8.17,22.9
20.03,8.19,37.6,,,,,,,,36.04,8.19,22.8
20.04,8.2,37.5,,,,,,,,36.05,8.2,22.5
20.06,8.21,37.5,,,,,,,,36.06,8.21,22.6
20.07,8.23,37.3,,,,,,,,36.07,8.23,22.8
20.08,8.24,37.6,,,,,,,,36.09,8.23,22.9
20.09,8.25,37.9,,,,,,,,36.1,8.25,22.9
20.11,8.26,37.9,,,,,,,,36.11,8.26,22.9
20.12,8.27,38.1,,,,,,,,36.12,8.27,22.7
20.13,8.28,38.2,,,,,,,,36.14,8.28,22.7
20.14,8.3,38.1,,,,,,,,36.15,8.3,23
20.16,8.31,38.1,,,,,,,,36.16,8.31,23.1
20.17,8.32,38.4,,,,,,,,36.17,8.32,23.3
20.18,8.34,38.5,,,,,,,,36.19,8.34,23.2
20.19,8.35,38.1,,,,,,,,36.2,8.35,23.1
20.21,8.36,38.2,,,,,,,,36.21,8.36,23.2
20.22,8.38,38.4,,,,,,,,36.22,8.38,23.4
20.23,8.39,38.4,,,,,,,,36.23,8.39,23.7
20.24,8.4,38.6,,,,,,,,36.25,8.4,23.7
20.25,8.42,38.7,,,,,,,,36.26,8.42,23.6
20.27,8.43,38.5,,,,,,,,36.27,8.43,23.6
20.28,8.44,38.5,,,,,,,,36.28,8.44,23.5
20.29,8.45,38.7,,,,,,,,36.3,8.45,23.7
20.3,8.47,38.6,,,,,,,,36.31,8.47,23.9
20.32,8.48,38.7,,,,,,,,36.32,8.48,24
20.33,8.49,38.8,,,,,,,,36.33,8.49,23.8
20.34,8.51,38.8,,,,,,,,36.35,8.51,23.8
20.35,8.52,38.8,,,,,,,,36.36,8.52,23.8
20.37,8.53,38.7,,,,,,,,36.37,8.53,23.9
20.38,8.55,38.9,,,,,,,,36.38,8.54,24.1
20.39,8.56,39,,,,,,,,36.4,8.56,24.1
20.4,8.57,39.1,,,,,,,,36.41,8.56,24.1
20.42,8.59,39.1,,,,,,,,36.42,8.58,24.3
20.43,8.6,39.2,,,,,,,,36.43,8.6,24.1
20.44,8.6,39.2,,,,,,,,36.44,8.6,23.8
20.45,8.62,39.1,,,,,,,,36.46,8.62,24.1
20.47,8.64,39.3,,,,,,,,36.47,8.64,24.4
20.48,8.65,39.3,,,,,,,,36.48,8.65,24.8
20.49,8.66,39.4,,,,,,,,36.5,8.66,24.7
20.5,8.68,39.6,,,,,,,,36.51,8.68,24.7
20.51,8.68,39.4,,,,,,,,36.52,8.68,24.8
20.53,8.69,39.4,,,,,,,,36.53,8.69,24.7
20.54,8.71,39.6,,,,,,,,36.54,8.71,24.5
20.55,8.72,39.6,,,,,,,,36.56,8.72,24.7
20.56,8.73,39.6,,,,,,,,36.57,8.73,24.9
20.58,8.75,39.9,,,,,,,,36.58,8.75,24.8
20.59,8.76,39.8,,,,,,,,36.59,8.76,25
20.6,8.77,39.9,,,,,,,,36.61,8.77,24.9
20.61,8.79,40,,,,,,,,36.62,8.78,25
20.63,8.8,40,,,,,,,,36.63,8.8,25
20.64,8.81,40.1,,,,,,,,36.64,8.81,25
20.65,8.82,40.2,,,,,,,,36.65,8.82,25.1
20.66,8.84,40.1,,,,,,,,36.67,8.84,25.3
20.68,8.85,40.1,,,,,,,,36.68,8.85,25.1
20.69,8.86,40.4,,,,,,,,36.69,8.86,25.1
20.7,8.88,40.4,,,,,,,,36.7,8.88,25.3
20.71,8.89,40.4,,,,,,,,36.72,8.89,25.4
20.72,8.9,40.5,,,,,,,,36.73,8.9,25.4
20.74,8.92,40.4,,,,,,,,36.74,8.92,25.5
20.75,8.93,40.3,,,,,,,,36.75,8.93,25.6
20.76,8.94,40.3,,,,,,,,36.77,8.94,25.5
20.77,8.96,40.7,,,,,,,,36.78,8.96,25.6
20.79,8.97,40.8,,,,,,,,36.79,8.97,25.6
20.8,8.98,40.6,,,,,,,,36.8,8.98,25.6
20.81,9,40.7,,,,,,,,36.81,9,25.8
20.82,9.01,40.8,,,,,,,,36.83,9.01,25.7
20.84,9.02,40.6,,,,,,,,36.84,9.02,25.8
20.85,9.04,40.9,,,,,,,,36.85,9.03,26.1
20.86,9.05,41.1,,,,,,,,36.87,9.05,26.1
20.87,9.06,40.9,,,,,,,,36.88,9.06,25.9
20.89,9.07,40.8,,,,,,,,36.89,9.07,26.1
20.9,9.09,41,,,,,,,,36.9,9.09,26.1
20.91,9.1,41.1,,,,,,,,36.91,9.1,26.1
20.92,9.11,41.4,,,,,,,,36.93,9.11,26.2
20.93,9.12,41.6,,,,,,,,36.94,9.12,26.4
20.95,9.14,41.4,,,,,,,,36.95,9.14,26.5
20.96,9.15,41.4,,,,,,,,36.96,9.15,26.4
20.97,9.16,41.3,,,,,,,,36.98,9.16,26.4
20.98,9.18,41.3,,,,,,,,36.99,9.17,26.5
21,9.19,41.3,,,,,,,,37,9.19,26.4
21.01,9.2,41.3,,,,,,,,37.01,9.2,26.5
21.02,9.21,41.6,,,,,,,,37.03,9.21,26.8
21.03,9.23,41.8,,,,,,,,37.04,9.23,26.7
21.05,9.23,41.6,,,,,,,,37.05,9.24,26.8
21.06,9.25,41.6,,,,,,,,37.06,9.25,26.9
21.07,9.26,41.9,,,,,,,,37.08,9.26,26.9
21.08,9.28,41.8,,,,,,,,37.09,9.27,26.7
21.1,9.29,42,,,,,,,,37.1,9.28,26.8
21.11,9.3,41.9,,,,,,,,37.11,9.3,26.9
21.12,9.31,41.9,,,,,,,,37.12,9.31,26.9
21.13,9.32,42,,,,,,,,37.14,9.32,27.2
21.14,9.34,42,,,,,,,,37.15,9.34,27.2
21.16,9.35,42,,,,,,,,37.16,9.35,27.1
21.17,9.36,42,,,,,,,,37.17,9.36,27.2
21.18,9.38,42.3,,,,,,,,37.19,9.38,27.3
21.19,9.4,42.3,,,,,,,,37.2,9.4,27.3
21.21,9.4,42.3,,,,,,,,37.21,9.4,27.4
21.22,9.42,42.6,,,,,,,,37.22,9.42,27.6
21.23,9.44,42.3,,,,,,,,37.24,9.44,27.7
21.24,9.44,42.3,,,,,,,,37.25,9.44,27.8
21.26,9.46,42.5,,,,,,,,37.26,9.46,27.5
21.27,9.47,42.8,,,,,,,,37.27,9.47,27.4
21.28,9.48,42.6,,,,,,,,37.29,9.48,27.4
21.29,9.49,42.8,,,,,,,,37.3,9.49,27.8
21.31,9.51,43,,,,,,,,37.31,9.51,27.8
21.32,9.52,42.9,,,,,,,,37.32,9.52,27.7
21.33,9.53,43,,,,,,,,37.33,9.53,27.7
21.34,9.55,42.7,,,,,,,,37.35,9.55,27.9
21.36,9.56,42.7,,,,,,,,37.36,9.56,27.9
21.37,9.57,42.8,,,,,,,,37.37,9.57,27.9
21.38,9.59,43,,,,,,,,37.38,9.59,28.2
21.39,9.6,43.2,,,,,,,,37.4,9.6,28.3
21.4,9.61,43.2,,,,,,,,37.41,9.61,28.2
21.42,9.63,43.1,,,,,,,,37.42,9.63,28.2
21.43,9.64,43.1,,,,,,,,37.43,9.64,28.3
21.44,9.65,43.2,,,,,,,,37.45,9.65,28.3
21.45,9.66,43.3,,,,,,,,37.46,9.66,28.4
21.47,9.68,43.1,,,,,,,,37.47,9.68,28.6
21.48,9.69,43.3,,,,,,,,37.48,9.68,28.5
21.49,9.69,43.4,,,,,,,,37.5,9.69,28.5
21.5,9.71,43.7,,,,,,,,37.51,9.71,28.6
21.52,9.72,43.7,,,,,,,,37.52,9.72,28.9
21.53,9.73,43.7,,,,,,,,37.53,9.73,28.8
21.54,9.75,43.8,,,,,,,,37.54,9.75,28.8
21.55,9.76,43.7,,,,,,,,37.56,9.76,28.9
21.57,9.77,44.1,,,,,,,,37.57,9.77,28.9
21.58,9.79,44.1,,,,,,,,37.58,9.79,29
21.59,9.8,43.9,,,,,,,,37.59,9.8,29.1
21.6,9.81,43.8,,,,,,,,37.61,9.81,29.3
21.61,9.83,43.9,,,,,,,,37.62,9.82,29.1
21.63,9.84,44.1,,,,,,,,37.63,9.84,29.3
21.64,9.85,44.3,,,,,,,,37.64,9.85,29.5
21.65,9.87,44.2,,,,,,,,37.66,9.86,29.4
21.66,9.88,44.2,,,,,,,,37.67,9.88,29.4
21.68,9.89,44.3,,,,,,,,37.68,9.89,29.9
21.69,9.9,44.3,,,,,,,,37.69,9.9,29.7
21.7,9.92,44.2,,,,,,,,37.71,9.92,29.4
21.71,9.93,44.3,,,,,,,,37.72,9.93,29.6
21.73,9.94,44.3,,,,,,,,37.73,9.94,29.7
21.74,9.96,44.4,,,,,,,,37.74,9.96,29.6
21.75,9.97,44.7,,,,,,,,37.76,9.97,29.6
21.76,9.98,44.6,,,,,,,,37.77,9.98,29.6
21.78,10,44.5,,,,,,,,37.78,10,29.9
21.79,10.01,44.6,,,,,,,,37.79,10.01,30
21.8,10.02,44.6,,,,,,,,37.8,10.02,29.9
21.81,10.04,44.9,,,,,,,,37.82,10.04,30.1
21.82,10.05,45.1,,,,,,,,37.83,10.05,29.8
21.84,10.06,44.9,,,,,,,,37.84,10.06,30.1
21.85,10.08,44.7,,,,,,,,37.85,10.08,30.2
21.86,10.09,44.7,,,,,,,,37.87,10.09,30.1
21.87,10.1,44.9,,,,,,,,37.88,10.1,30
21.89,10.11,45.1,,,,,,,,37.89,10.11,30.2
21.9,10.13,45.1,,,,,,,,37.9,10.13,30.4
21.91,10.14,45.1,,,,,,,,37.92,10.14,30.4
21.92,10.15,45.3,,,,,,,,37.93,10.15,30.4
21.94,10.17,45.4,,,,,,,,37.94,10.17,30.3
21.95,10.18,45.4,,,,,,,,37.95,10.18,30.3
21.96,10.19,45.7,,,,,,,,37.97,10.19,30.6
21.97,10.21,45.7,,,,,,,,37.98,10.21,30.7
21.98,10.22,45.6,,,,,,,,37.99,10.22,30.7
22,10.23,45.7,,,,,,,,38,10.23,30.3
22.01,10.24,45.9,,,,,,,,38.01,10.24,30.3
22.02,10.26,45.8,,,,,,,,38.03,10.26,30.4
22.03,10.27,45.6,,,,,,,,38.04,10.27,30.9
22.05,10.28,45.8,,,,,,,,38.05,10.28,31.1
22.06,10.29,46,,,,,,,,38.06,10.3,30.9
22.07,10.31,45.9,,,,,,,,38.08,10.31,30.9
22.08,10.32,46,,,,,,,,38.09,10.32,31
22.1,10.34,46.1,,,,,,,,38.1,10.34,31
22.11,10.35,46,,,,,,,,38.11,10.35,31
22.12,10.36,46.2,,,,,,,,38.13,10.36,31.3
22.13,10.37,46.2,,,,,,,,38.14,10.37,31.3
22.15,10.39,46.1,,,,,,,,38.15,10.39,31.5
22.16,10.4,46.2,,,,,,,,38.16,10.4,31.6
22.17,10.41,46.4,,,,,,,,38.18,10.41,31.4
22.18,10.43,46.6,,,,,,,,38.19,10.43,31.5
22.19,10.44,46.6,,,,,,,,38.2,10.44,31.7
22.21,10.45,46.6,,,,,,,,38.21,10.45,31.5
22.22,10.46,46.7,,,,,,,,38.22,10.46,31.6
22.23,10.48,46.8,,,,,,,,38.24,10.48,31.8
22.25,10.48,46.8,,,,,,,,38.25,10.48,31.7
22.26,10.5,46.8,,,,,,,,38.26,10.5,31.7
22.27,10.52,46.7,,,,,,,,38.27,10.52,31.8
22.28,10.52,46.8,,,,,,,,38.29,10.52,32
22.29,10.54,47.1,,,,,,,,38.3,10.54,31.9
22.31,10.56,47.1,,,,,,,,38.31,10.56,31.8
22.32,10.56,46.9,,,,,,,,38.32,10.56,32
22.33,10.58,47,,,,,,,,38.34,10.58,32.1
22.34,10.6,47,,,,,,,,38.35,10.6,32.1
22.36,10.6,47.3,,,,,,,,38.36,10.6,32.4
22.37,10.61,47.6,,,,,,,,38.37,10.61,32.6
22.38,10.63,47.5,,,,,,,,38.39,10.63,32.5
22.39,10.65,47.3,,,,,,,,38.4,10.65,32.3
22.4,10.65,47.1,,,,,,,,38.41,10.65,32.3
22.42,10.67,47.3,,,,,,,,38.42,10.67,32.6
22.43,10.68,47.4,,,,,,,,38.44,10.68,32.4
22.44,10.69,47.6,,,,,,,,38.45,10.69,32.5
22.45,10.71,47.6,,,,,,,,38.46,10.71,32.8
22.47,10.72,47.6,,,,,,,,38.47,10.72,32.6
22.48,10.73,47.8,,,,,,,,38.48,10.73,32.8
22.49,10.74,47.9,,,,,,,,38.5,10.74,33
22.5,10.76,47.8,,,,,,,,38.51,10.76,33.1
22.52,10.77,47.8,,,,,,,,38.52,10.77,33
22.53,10.78,47.7,,,,,,,,38.53,10.78,32.9
22.54,10.8,47.9,,,,,,,,38.55,10.8,33.1
22.55,10.81,48,,,,,,,,38.56,10.81,33.1
22.57,10.82,47.8,,,,,,,,38.57,10.82,33.2
22.58,10.84,48,,,,,,,,38.58,10.84,33.2
22.59,10.85,48.1,,,,,,,,38.6,10.85,33.3
22.6,10.85,48.1,,,,,,,,38.61,10.85,33.2
22.61,10.88,48.2,,,,,,,,38.62,10.88,33.1
22.63,10.88,48.2,,,,,,,,38.63,10.89,33.4
22.64,10.9,48.1,,,,,,,,38.65,10.9,33.6
22.65,10.91,48.5,,,,,,,,38.66,10.91,33.6
22.67,10.92,48.7,,,,,,,,38.67,10.92,33.4
22.68,10.93,48.7,,,,,,,,38.68,10.93,33.6
22.69,10.94,48.8,,,,,,,,38.69,10.94,33.9
22.7,10.96,48.7,,,,,,,,38.71,10.96,34
22.71,10.97,48.7,,,,,,,,38.72,10.97,33.9
22.73,10.98,48.9,,,,,,,,38.73,10.98,33.8
22.74,11,48.9,,,,,,,,38.74,11,33.7
22.75,11.01,48.8,,,,,,,,38.76,11.01,34
22.76,11.02,49,,,,,,,,38.77,11.02,34.3
22.78,11.04,49,,,,,,,,38.78,11.03,34.3
22.79,11.05,48.7,,,,,,,,38.79,11.05,34.2
22.8,11.06,48.8,,,,,,,,38.81,11.06,34.2
22.81,11.07,49,,,,,,,,38.82,11.07,34.3
22.83,11.09,49,,,,,,,,38.83,11.09,34.5
22.84,11.1,49.1,,,,,,,,38.84,11.1,34.7
22.85,11.11,49,,,,,,,,38.86,11.11,34.6
22.86,11.13,49.1,,,,,,,,38.87,11.13,34.5
22.87,11.14,49.1,,,,,,,,38.88,11.14,34.7
22.89,11.15,49.1,,,,,,,,38.89,11.15,34.8
22.9,11.16,49.4,,,,,,,,38.9,11.16,34.7
22.91,11.17,49.7,,,,,,,,38.92,11.17,34.7
22.92,11.19,49.7,,,,,,,,38.93,11.19,34.8
22.94,11.2,49.8,,,,,,,,38.94,11.19,34.7
22.95,11.21,49.6,,,,,,,,38.95,11.21,34.9
22.96,11.23,49.8,,,,,,,,38.97,11.23,34.9
22.97,11.23,50,,,,,,,,38.98,11.23,35.1
22.99,11.25,50.2,,,,,,,,38.99,11.25,35.3
23,11.27,50.3,,,,,,,,39,11.26,35.1
23.01,11.27,50.4,,,,,,,,39.02,11.27,35
23.02,11.29,50.3,,,,,,,,39.03,11.28,35.2
23.04,11.3,50.3,,,,,,,,39.04,11.3,35.4
23.05,11.31,50.3,,,,,,,,39.05,11.31,35.6
23.06,11.32,50.4,,,,,,,,39.06,11.32,35.4
23.07,11.34,50.6,,,,,,,,39.08,11.34,35.3
23.08,11.35,50.7,,,,,,,,39.09,11.35,35.5
23.1,11.36,50.6,,,,,,,,39.1,11.36,35.5
23.11,11.38,50.3,,,,,,,,39.12,11.38,35.4
23.12,11.4,50.3,,,,,,,,39.13,11.4,35.6
23.13,11.4,50.5,,,,,,,,39.14,11.4,35.7
23.15,11.42,50.7,,,,,,,,39.15,11.42,35.9
23.16,11.44,50.9,,,,,,,,39.16,11.44,35.9
23.17,11.44,50.7,,,,,,,,39.18,11.44,35.9
23.18,11.46,50.9,,,,,,,,39.19,11.46,36.2
23.2,11.47,51,,,,,,,,39.2,11.47,36.2
23.21,11.48,50.9,,,,,,,,39.21,11.48,36
23.22,11.5,50.9,,,,,,,,39.23,11.5,36.1
23.23,11.51,51,,,,,,,,39.24,11.51,36.3
23.25,11.52,50.9,,,,,,,,39.25,11.52,36.2
23.26,11.53,50.9,,,,,,,,39.26,11.53,36
23.27,11.55,51.1,,,,,,,,39.28,11.55,36.1
23.28,11.56,51.3,,,,,,,,39.29,11.56,36.2
23.29,11.57,51.5,,,,,,,,39.3,11.57,36.6
23.31,11.59,51.3,,,,,,,,39.31,11.59,36.8
23.32,11.6,51.4,,,,,,,,39.33,11.6,36.8
23.33,11.61,51.2,,,,,,,,39.34,11.61,36.7
23.34,11.63,51.5,,,,,,,,39.35,11.63,36.7
23.36,11.64,51.7,,,,,,,,39.36,11.64,36.9
23.37,11.65,51.9,,,,,,,,39.37,11.65,37
23.38,11.66,51.8,,,,,,,,39.39,11.66,37.2
23.39,11.68,51.8,,,,,,,,39.4,11.68,37.1
23.41,11.68,52,,,,,,,,39.41,11.69,37
23.42,11.69,52.1,,,,,,,,39.42,11.69,37.1
23.43,11.71,51.9,,,,,,,,39.44,11.71,37.3
23.44,11.72,52,,,,,,,,39.45,11.72,37.4
23.46,11.73,52.3,,,,,,,,39.46,11.73,37.1
23.47,11.75,52.1,,,,,,,,39.47,11.75,37.3
23.48,11.76,52,,,,,,,,39.49,11.76,37.6
23.49,11.77,52.3,,,,,,,,39.5,11.77,37.4
23.51,11.79,52.4,,,,,,,,39.51,11.79,37.6
23.52,11.8,52.6,,,,,,,,39.52,11.8,37.9
23.53,11.81,52.9,,,,,,,,39.54,11.81,38
23.54,11.83,52.8,,,,,,,,39.55,11.83,38.1
23.55,11.84,52.5,,,,,,,,39.56,11.84,37.8
23.57,11.85,52.6,,,,,,,,39.57,11.85,38
23.58,11.87,52.6,,,,,,,,39.58,11.87,37.8
23.59,11.88,52.8,,,,,,,,39.6,11.88,38.1
23.6,11.89,52.7,,,,,,,,39.61,11.89,38
23.62,11.9,52.8,,,,,,,,39.62,11.9,37.9
23.63,11.92,53.1,,,,,,,,39.63,11.92,38
23.64,11.93,52.9,,,,,,,,39.65,11.93,37.9
23.65,11.94,52.9,,,,,,,,39.66,11.94,38
23.67,11.96,53,,,,,,,,39.67,11.96,38.4
23.68,11.97,53,,,,,,,,39.68,11.97,38.4
23.69,11.98,53.2,,,,,,,,39.7,11.98,38.6
23.7,11.99,53.3,,,,,,,,39.71,12,38.7
23.72,12.01,53.3,,,,,,,,39.72,12.01,38.7
23.73,12.01,53.4,,,,,,,,39.73,12.01,38.4
23.74,12.01,53.4,,,,,,,,39.75,12.01,38.1
23.75,12.01,53.2,,,,,,,,39.76,12.01,38.5
23.76,12.01,53,,,,,,,,39.77,12.01,38.6
23.78,12.01,52.9,,,,,,,,39.78,12.01,38.5
23.79,12.01,53.2,,,,,,,,39.79,12.01,38.5
23.8,12.01,53.1,,,,,,,,39.81,12.01,38.5
23.81,12.01,52.9,,,,,,,,39.82,12.01,38.4
23.83,12.01,52.7,,,,,,,,39.83,12.01,38.4
23.84,12.01,52.7,,,,,,,,39.84,12.01,38.2
23.85,12.01,52.9,,,,,,,,39.86,12.01,38.1
23.86,12.01,52.8,,,,,,,,39.87,12.01,37.9
23.88,12.01,52.8,,,,,,,,39.88,12.01,37.9
23.89,12.01,52.5,,,,,,,,39.89,12.01,38
23.9,12.01,52.4,,,,,,,,39.9,12.01,38.1
23.91,12.01,52.6,,,,,,,,39.92,12.01,37.9
23.93,12.01,52.4,,,,,,,,39.93,12.01,37.7
23.94,12.01,52.2,,,,,,,,39.94,12.01,37.7
23.95,12.01,52.1,,,,,,,,39.96,12.01,38
23.96,12.01,52.3,,,,,,,,39.97,12.01,37.6
23.97,12.01,52.1,,,,,,,,39.98,12.01,37.7
23.99,12.01,52,,,,,,,,39.99,12.01,37.7
24,12.01,52.3,,,,,,,,40.01,12.01,37.5
24.02,12.01,52.3,,,,,,,,40.03,12.01,37.7
24.02,12.01,52.4,,,,,,,,40.03,12.01,37.8
24.04,12,52.2,,,,,,,,40.04,12,37.6
24.05,11.98,51.9,,,,,,,,40.05,11.98,37.2
24.06,11.97,51.8,,,,,,,,40.07,11.97,37.2
24.07,11.96,51.8,,,,,,,,40.08,11.96,37.2
24.09,11.95,51.8,,,,,,,,40.09,11.95,37
24.1,11.93,51.5,,,,,,,,40.1,11.94,36.9
24.11,11.92,51.1,,,,,,,,40.12,11.93,36.6
24.12,11.91,50.9,,,,,,,,40.13,11.91,36.3
24.14,11.9,50.8,,,,,,,,40.14,11.9,36.2
24.15,11.89,50.8,,,,,,,,40.15,11.89,36.1
24.16,11.87,50.7,,,,,,,,40.17,11.87,36.1
24.17,11.85,50.5,,,,,,,,40.18,11.85,36.1
24.18,11.85,50.3,,,,,,,,40.19,11.85,35.8
24.2,11.84,50.2,,,,,,,,40.2,11.83,35.5
24.21,11.82,50.4,,,,,,,,40.22,11.81,35.2
24.22,11.81,50.1,,,,,,,,40.23,11.81,35
24.23,11.8,49.8,,,,,,,,40.24,11.8,35.3
24.25,11.78,49.8,,,,,,,,40.25,11.78,35.3
24.26,11.77,49.5,,,,,,,,40.26,11.77,35.1
24.27,11.76,49.4,,,,,,,,40.28,11.76,34.8
24.28,11.74,49.6,,,,,,,,40.29,11.75,34.6
24.3,11.73,49.5,,,,,,,,40.3,11.73,34.3
24.31,11.72,49.2,,,,,,,,40.31,11.72,34.3
24.32,11.71,49.1,,,,,,,,40.33,11.71,34.5
24.33,11.69,48.9,,,,,,,,40.34,11.69,34.4
24.35,11.68,48.7,,,,,,,,40.35,11.69,34.2
24.36,11.67,48.6,,,,,,,,40.36,11.67,34.2
24.37,11.65,48.7,,,,,,,,40.38,11.65,33.9
24.38,11.65,48.6,,,,,,,,40.39,11.65,33.8
24.4,11.63,48.5,,,,,,,,40.4,11.63,33.7
24.41,11.62,48.5,,,,,,,,40.41,11.62,33.3
24.42,11.61,48.2,,,,,,,,40.43,11.61,33.5
24.43,11.6,48,,,,,,,,40.44,11.6,33.6
24.44,11.58,48,,,,,,,,40.45,11.58,33.3
24.46,11.57,48,,,,,,,,40.46,11.57,33.1
24.47,11.56,47.8,,,,,,,,40.47,11.56,33.2
24.48,11.54,47.5,,,,,,,,40.49,11.54,32.9
24.49,11.53,47.3,,,,,,,,40.5,11.53,32.9
24.51,11.52,47.5,,,,,,,,40.51,11.52,32.8
24.52,11.51,47.4,,,,,,,,40.52,11.51,32.6
24.53,11.5,47.1,,,,,,,,40.54,11.5,32.6
24.54,11.48,46.9,,,,,,,,40.55,11.48,32.6
24.56,11.47,46.8,,,,,,,,40.56,11.47,32.4
24.57,11.46,46.7,,,,,,,,40.57,11.46,32.3
24.58,11.44,46.8,,,,,,,,40.59,11.44,32.2
24.59,11.43,46.8,,,,,,,,40.6,11.43,32.1
24.61,11.42,46.7,,,,,,,,40.61,11.42,31.9
24.62,11.4,46.7,,,,,,,,40.62,11.4,32
24.63,11.39,46.5,,,,,,,,40.63,11.39,31.9
24.64,11.38,46.4,,,,,,,,40.65,11.38,31.7
24.65,11.37,46.2,,,,,,,,40.66,11.37,31.8
24.67,11.35,46.2,,,,,,,,40.67,11.35,31.9
24.68,11.34,46.3,,,,,,,,40.69,11.34,31.5
24.69,11.33,46.2,,,,,,,,40.7,11.33,31.3
24.7,11.31,46.1,,,,,,,,40.71,11.31,31.6
24.72,11.3,45.8,,,,,,,,40.72,11.3,31.5
24.73,11.29,45.7,,,,,,,,40.73,11.29,31.3
24.74,11.27,45.7,,,,,,,,40.75,11.27,31
24.75,11.26,45.5,,,,,,,,40.76,11.26,30.9
24.77,11.25,45.5,,,,,,,,40.77,11.25,30.9
24.78,11.24,45.6,,,,,,,,40.78,11.24,30.8
24.79,11.23,45.4,,,,,,,,40.79,11.23,31
24.8,11.22,45.1,,,,,,,,40.81,11.22,30.8
24.82,11.2,45,,,,,,,,40.82,11.2,30.4
24.83,11.19,44.9,,,,,,,,40.83,11.19,30.6
24.84,11.18,44.8,,,,,,,,40.85,11.18,30.5
24.85,11.17,44.7,,,,,,,,40.86,11.17,30.3
24.86,11.15,44.7,,,,,,,,40.87,11.15,30.1
24.88,11.14,44.7,,,,,,,,40.88,11.14,30.1
24.89,11.13,44.6,,,,,,,,40.9,11.13,30.1
24.9,11.11,44.4,,,,,,,,40.91,11.11,30.1
24.92,11.1,44.1,,,,,,,,40.92,11.1,29.9
24.93,11.09,44.3,,,,,,,,40.93,11.09,29.5
24.94,11.07,44.3,,,,,,,,40.94,11.07,29.5
24.95,11.06,44.1,,,,,,,,40.96,11.06,29.7
24.96,11.05,43.9,,,,,,,,40.97,11.05,29.8
24.98,11.03,43.8,,,,,,,,40.98,11.03,29.5
24.99,11.02,43.8,,,,,,,,40.99,11.02,29.3
25,11.02,43.9,,,,,,,,41.01,11.02,29.6
25.01,11,43.8,,,,,,,,41.02,11,29.6
